iter	Passed	Remaining
302	8202	5333
303	8225	5303
304	8247	5272
305	8274	5245
306	8295	5214
307	8318	5185
308	8338	5153
309	8361	5124
310	8383	5094
311	8405	5064
312	8426	5034
313	8450	5005
314	8480	4980
315	8510	4955
316	8537	4928
317	8561	4899
318	8586	4871
319	8610	4843
320	8639	4817
321	8661	4788
322	8683	4758
323	8707	4730
324	8729	4700
325	8751	4671
326	8772	4641
327	8794	4611
328	8817	4583
329	8840	4554
330	8861	4524
331	8881	4494
332	8903	4464
333	8940	4443
334	8994	4430
335	9035	4410
336	9072	4388
337	9103	4363
338	9127	4334
339	9156	4308
340	9184	4282
341	9208	4254
342	9236	4227
343	9266	4202
344	9298	4177
345	9332	4153
346	9361	4127
347	9391	4101
348	9419	4075
349	9451	4050
350	9484	4026
351	9519	4002
352	9546	3975
353	9570	3947
354	9593	3918
355	9619	3890
356	9642	3862
357	9664	3833
358	9686	3804
359	9706	3774
360	9731	3746
361	9754	3718
362	9776	3689
363	9799	3661
364	9819	3631
365	9842	3603
366	9860	3573
367	9884	3545
368	9914	3519
369	9941	3492
370	9970	3466
371	9998	3440
372	10024	3413
373	10049	3385
374	10069	3356
375	10093	3328
376	10113	3299
377	10143	3273
378	10177	3249
379	10210	3224
380	10231	3195
381	10259	3169
382	10294	3144
383	10316	3116
384	10341	3088
385	10362	3060
386	10384	3032
387	10405	3003
388	10430	2976
389	10455	2949
390	10483	2922
391	10512	2896
392	10536	2868
393	10562	2841
394	10591	2815
395	10614	2787
396	10635	2759
397	10657	2731
398	10678	2703
399	10698	2674
400	10748	2653
401	10776	2627
